Tue Oct 23 08:34:27 CEST 2012 CONFIG: 4470 - below (5)
Tue Oct 23 08:34:29 CEST 2012 FINE: Key: v pressed 	false
Tue Oct 23 08:34:29 CEST 2012 FINE: Key: g pressed 	false
Tue Oct 23 08:34:30 CEST 2012 FINE: Key: d pressed 	false
Tue Oct 23 08:34:30 CEST 2012 FINE: Key: r pressed 	false
Tue Oct 23 08:34:30 CEST 2012 FINE: Key: e pressed 	true
Tue Oct 23 08:34:31 CEST 2012 FINE: Key: w pressed 	true
Tue Oct 23 08:34:32 CEST 2012 FINE: Key: t pressed 	false
Tue Oct 23 08:34:33 CEST 2012 FINE: Key: n pressed 	false
Tue Oct 23 08:34:33 CEST 2012 FINE: Key: b pressed 	true
Tue Oct 23 08:34:50 CEST 2012 FINE: Key: l pressed 	true
Tue Oct 23 08:34:54 CEST 2012 FINE: Key: o pressed 	true
Tue Oct 23 08:34:54 CEST 2012 FINEST: User have finished the word: b e l o w
Tue Oct 23 08:35:19 CEST 2012 CONFIG: 53193 - trouts (6)
Tue Oct 23 08:35:32 CEST 2012 FINE: Key: u pressed 	true
Tue Oct 23 08:35:35 CEST 2012 FINE: Key: s pressed 	true
